Distance_cm,Intensity
0,0.996078431372549
0.00331455087835598,0.996078431372549
0.00662910175671197,0.996078431372549
0.00994365263506795,0.996078431372549
0.0132582035134239,0.996078431372549
0.0165727543917799,1
0.0198873052701359,1
0.0232018561484919,1
0.0265164070268479,1
0.0298309579052038,1
0.0331455087835598,1
0.0364600596619158,1
0.0397746105402718,1
0.0430891614186278,1
0.0464037122969838,1
0.0497182631753397,1
0.0530328140536957,1
0.0563473649320517,1
0.0596619158104077,1
0.0629764666887637,1
0.0662910175671197,1
0.0696055684454756,1
0.0729201193238316,1
0.0762346702021876,1
0.0795492210805436,1
0.0828637719588996,1
0.0861783228372556,1
0.0894928737156115,1
0.0928074245939675,1
0.0961219754723235,1
0.0994365263506795,1
0.102751077229035,1
0.106065628107391,1
0.109380178985747,1
0.112694729864103,1
0.116009280742459,1
0.119323831620815,1
0.122638382499171,1
0.125952933377527,1
0.129267484255883,1
0.132582035134239,1
0.135896586012595,1
0.139211136890951,1
0.142525687769307,1
0.145840238647663,1
0.149154789526019,1
0.152469340404375,1
0.155783891282731,1
0.159098442161087,1
0.162412993039443,1
0.165727543917799,1
0.169042094796155,1
0.172356645674511,1
0.175671196552867,1
0.178985747431223,1
0.182300298309579,1
0.185614849187935,1
0.188929400066291,1
0.192243950944647,1
0.195558501823003,1
0.198873052701359,1
0.202187603579715,1
0.205502154458071,1
0.208816705336427,1
0.212131256214783,1
0.215445807093139,1
0.218760357971495,1
0.222074908849851,1
0.225389459728207,1
0.228704010606563,1
0.232018561484919,1
0.235333112363275,1
0.238647663241631,1
0.241962214119987,1
0.245276764998343,1
0.248591315876699,1
0.251905866755055,1
0.255220417633411,1
0.258534968511767,1
0.261849519390123,1
0.265164070268479,1
0.268478621146835,1
0.271793172025191,1
0.275107722903547,1
0.278422273781903,1
0.281736824660259,1
0.285051375538615,1
0.288365926416971,1
0.291680477295326,1
0.294995028173682,1
0.298309579052038,1
0.301624129930394,1
0.30493868080875,1
0.308253231687106,1
0.311567782565462,1
0.314882333443818,1
0.318196884322174,1
0.32151143520053,1
0.324825986078886,1
0.328140536957242,1
0.331455087835598,1
0.334769638713954,1
0.33808418959231,1
0.341398740470666,1
0.344713291349022,1
0.348027842227378,1
0.351342393105734,1
0.35465694398409,1
0.357971494862446,1
0.361286045740802,1
0.364600596619158,1
0.367915147497514,1
0.37122969837587,1
0.374544249254226,1
0.377858800132582,1
0.381173351010938,1
0.384487901889294,1
0.38780245276765,1
0.391117003646006,1
0.394431554524362,1
0.397746105402718,1
0.401060656281074,1
0.40437520715943,1
0.407689758037786,1
0.411004308916142,1
0.414318859794498,1
0.417633410672854,1
0.42094796155121,1
0.424262512429566,1
0.427577063307922,1
0.430891614186278,1
0.434206165064634,1
0.43752071594299,1
0.440835266821346,1
0.444149817699702,1
0.447464368578058,1
0.450778919456414,1
0.45409347033477,1
0.457408021213126,1
0.460722572091482,1
0.464037122969838,1
0.467351673848194,1
0.47066622472655,1
0.473980775604906,1
0.477295326483262,1
0.480609877361617,1
0.483924428239974,1
0.487238979118329,1
0.490553529996685,1
0.493868080875041,1
0.497182631753397,1
0.500497182631753,1
0.503811733510109,1
0.507126284388465,1
0.510440835266821,1
0.513755386145177,1
0.517069937023533,1
0.520384487901889,1
0.523699038780245,1
0.527013589658601,1
0.530328140536957,1
0.533642691415313,1
0.536957242293669,1
0.540271793172025,1
0.543586344050381,1
0.546900894928737,1
0.550215445807093,1
0.553529996685449,1
0.556844547563805,1
0.560159098442161,1
0.563473649320517,1
0.566788200198873,1
0.570102751077229,1
0.573417301955585,1
0.576731852833941,1
0.580046403712297,1
0.583360954590653,1
0.586675505469009,1
0.589990056347365,1
0.593304607225721,1
0.596619158104077,1
0.599933708982433,1
0.603248259860789,1
0.606562810739145,1
0.609877361617501,1
0.613191912495857,1
0.616506463374213,1
0.619821014252569,1
0.623135565130925,1
0.626450116009281,1
0.629764666887637,1
0.633079217765993,1
0.636393768644349,1
0.639708319522705,1
0.643022870401061,1
0.646337421279417,1
0.649651972157773,1
0.652966523036129,1
0.656281073914485,1
0.659595624792841,1
0.662910175671197,1
0.666224726549553,1
0.669539277427909,1
0.672853828306265,1
0.67616837918462,1
0.679482930062976,1
0.682797480941332,1
0.686112031819688,1
0.689426582698044,1
0.6927411335764,1
0.696055684454756,1
0.699370235333112,1
0.702684786211468,1
0.705999337089824,1
0.70931388796818,1
0.712628438846536,1
0.715942989724892,1
0.719257540603248,1
0.722572091481604,1
0.72588664235996,1
0.729201193238316,1
0.732515744116672,1
0.735830294995028,1
0.739144845873384,1
0.74245939675174,1
0.745773947630096,1
0.749088498508452,1
0.752403049386808,1
0.755717600265164,1
0.75903215114352,1
0.762346702021876,1
0.765661252900232,1
0.768975803778588,1
0.772290354656944,1
0.7756049055353,1
0.778919456413656,1
0.782234007292012,1
0.785548558170368,1
0.788863109048724,1
0.79217765992708,1
